id_cliente,nombre,email,fecha_registro,ciudad,pais
1,"Raul Salvatierra",raul.salvatierra.35@gmail.com,"2026-01-19 12:59:30",Brooklyn,USA
2,"Maria Perez",maria@hotmail.com,"2026-01-19 12:59:30","Buenos Aires",Argentina
3,"Carlos Lopez",carlos@gmail.com,"2026-01-19 12:59:30",Madrid,España
4,"Gian Tenorio",gian.tenorio6@gmail.com,"2026-01-19 12:59:30",Cali,Colombia
5,"Brian Scheller",bscheller@gmail.com,"2026-01-19 12:59:30",Brooklyn,USA
6,"Juan Perez",juan.perez@gmail.com,"2026-01-19 12:59:30","Buenos Aires",Argentina
7,"Maria Gonzalez",maria.gonzalez@yahoo.com,"2026-01-19 12:59:30",Santiago,Chile
8,"Carlos Ramirez",carlos.ramirez@hotmail.com,"2026-01-19 12:59:30",Lima,Peru
9,"Ana Fernandez",ana.fernandez@gmail.com,"2026-01-19 12:59:30",Bogotá,Colombia
10,"Luis Martinez",luis.martinez@yahoo.com,"2026-01-19 12:59:30",Quito,Ecuador
11,"Sofia Lopez",sofia.lopez@hotmail.com,"2026-01-19 12:59:30",Montevideo,Uruguay
12,"Diego Sanchez",diego.sanchez@gmail.com,"2026-01-19 12:59:30",Asunción,Paraguay
13,"Camila Torres",camila.torres@yahoo.com,"2026-01-19 12:59:30","La Paz",Bolivia
14,"Jose Castillo",jose.castillo@hotmail.com,"2026-01-19 12:59:30",Caracas,Venezuela
15,"Valentina Herrera",valentina.herrera@gmail.com,"2026-01-19 12:59:30","Ciudad de Mexico",Mexico
16,"Ricardo Morales",ricardo.morales@yahoo.com,"2026-01-19 12:59:30",Guadalajara,Mexico
17,"Fernanda Diaz",fernanda.diaz@hotmail.com,"2026-01-19 12:59:30",Medellín,Colombia
18,"Gabriel Ortiz",gabriel.ortiz@gmail.com,"2026-01-19 12:59:30","Santo Domingo","Republica Dominicana"
19,"Isabella Reyes",isabella.reyes@yahoo.com,"2026-01-19 12:59:30","San Juan","Puerto Rico"
20,"Matias Rojas",matias.rojas@hotmail.com,"2026-01-19 12:59:30",Montevideo,Uruguay
21,"Andres Molina",andres.molina@gmail.com,"2026-01-19 12:59:30",Rosario,Argentina
22,"Lucia Benitez",lucia.benitez@yahoo.com,"2026-01-19 12:59:30",Córdoba,Argentina
23,"Pablo Aguirre",pablo.aguirre@hotmail.com,"2026-01-19 12:59:30",Mendoza,Argentina
